YAJURVED	मन्त्रसंख्या				
1462	26.4	26	4	1462	इन्द्र गोमन्निहा याहि पिबा सोमꣳ शतक्रतो। विद्यद्भिर्ग्रावभिः सुतम्। उपयामगृहीतोऽसीन्द्राय त्वा गोमतऽएष ते योनिरिन्द्राय त्वा गोमते ॥४ ॥
1463	26.5	26	5	1463	इन्द्रा याहि वृत्रहन् पिबा सोमꣳ शतक्रतो। गोमद्भिर्ग्रावभिः सुतम्। उपयामगृहीतोऽसीन्द्राय त्वा गोमतऽएष ते योनिरिन्द्राय त्वा गोमते ॥५ ॥
1464	26.6	26	6	1464	ऋतावानं वैश्वानरमृतस्य ज्योतिषस्पतिम्। अजस्रं घर्ममीमहे। उपयामगृहीतोऽसि वैश्वानराय त्वैष ते योनिर्वैश्वानराय त्वा ॥६ ॥
1465	26.7	26	7	1465	वैश्वानरस्य सुमतौ स्याम राजा हि कं भुवनानामभिश्रीः। इतो जातो विश्वमिदं वि चष्टे वैश्वानरो यतते सूर्येण। उपयामगृहीतोऽसि वैश्वानराय त्वैष ते योनिर्वैश्वानराय त्वा ॥७ ॥
1466	26.8	26	8	1466	वैश्वानरो न ऊतयऽआ प्र यातु परावतः। अग्निरुक्थेन वाहसा। उपयामगृहीतोऽसि वैश्वानराय त्वैष ते योनिर्वैश्वानराय त्वा ॥८ ॥
1467	26.9	26	9	1467	अग्निर्ऋषिः पवमानः पाञ्चजन्यः पुरोहितः। तमीमहे महागयम्। उपयामगृहीतोऽस्यग्नये त्वा वर्चसऽएष ते योनिरग्नये त्वा वर्चसे ॥९ ॥
1468	26.10	26	10	1468	महाँ२ ॥ऽइन्द्रो वज्रहस्तः षोडशी शर्म यच्छतु। हन्तु पाप्मानं योऽस्मान् द्वेष्टि। उपयामगृहीतोऽसि महेन्द्राय त्वैष ते योनिर्महेन्द्राय त्वा ॥१० ॥
1469	26.11	26	11	1469	तं वो दस्ममृतीषहं वसोर्मन्दानमन्धसः। अभि वत्सं न स्वसरेषु धेनवऽइन्द्रं गीर्भिर्नवामहे ॥११ ॥
1470	26.12	26	12	1470	यद्वाहिष्ठं तदग्नये बृहदर्च विभावसो। महिषीव त्वद्रयिस्त्वद्वाजाऽउदीरते ॥१२ ॥
1471	26.13	26	13	1471	एह्यू षु ब्रवाणि तेऽग्नऽ इत्थेतरा गिरः। एभिर्वर्द्धासऽइन्दुभिः ॥१३ ॥
1472	26.14	26	14	1472	ऋतवस्ते यज्ञं वितन्वन्तु मासा रक्षन्तु ते हविः। संवत्सरस्ते यज्ञं दधातु नः प्रजां च परि पातु नः ॥१४ ॥
1473	26.15	26	15	1473	उपह्वरे गिरीणा सङ्गमे च नदीनाम्। धिया विप्रो अजायत ॥१५ ॥
1474	26.16	26	16	1474	उच्चा ते जातमन्धसो दिवि सद्भूम्याददे। उग्रꣳशर्म महि श्रवः ॥१६ ॥
